,job,skill,years
113,Senior Data Engineer / SeniorLink,Airflow,3.0
114,Senior Data Engineer / SeniorLink,Kinesis,3.0
115,Senior Data Engineer / SeniorLink,Elastic Map Reduce,3.0
116,Senior Data Engineer / SeniorLink,Data Pipeline,3.0
117,Senior Data Engineer / SeniorLink,SQL,3.0
125,Senior Data Engineer / SeniorLink,Swagger,3.0
126,Senior Data Engineer / SeniorLink,Postman,3.0
127,Senior Data Engineer / SeniorLink,RDS,3.0
131,Senior Data Engineer / SeniorLink,S3,3.0
132,Senior Data Engineer / SeniorLink,SDK,3.0
219,Technical Lead / ClipFile,Secrets Manager,5.0
220,Technical Lead / ClipFile,CLI,5.0
221,Technical Lead / ClipFile,architecture,5.0
230,Technical Lead / ClipFile,Hibernate,5.0
240,Technical Lead / ClipFile,IAM,5.0
241,Technical Lead / ClipFile,S3,5.0
326,Sierra Vista Group,Secrets Manager,9.0
327,Sierra Vista Group,CLI,9.0
328,Sierra Vista Group,architecture,9.0
333,svg_Technical Lead / MSC,Secrets Manager,3.0
334,svg_Technical Lead / MSC,CLI,3.0
335,svg_Technical Lead / MSC,architecture,3.0
342,svg_Consulting Architect  / Eleven,Secrets Manager,2.0
343,svg_Consulting Architect  / Eleven,CLI,2.0
344,svg_Consulting Architect  / Eleven,architecture,2.0
350,svg_Consulting Architect  / Eleven,Hibernate,2.0
372,svg_Technical Lead / EMI,Secrets Manager,2.0
373,svg_Technical Lead / EMI,CLI,2.0
374,svg_Technical Lead / EMI,architecture,2.0
375,svg_Technical Lead / EMI,Hibernate,2.0
421,Architect / HomePortfoio,Secrets Manager,5.0
422,Architect / HomePortfoio,CLI,5.0
423,Architect / HomePortfoio,architecture,5.0
426,Architect / HomePortfoio,RedShift,5.0
428,Architect / HomePortfoio,Hibernate,5.0
501,Ph.D. Student / MIT Media Lab,architecture,7.0
502,Ph.D. Student / MIT Media Lab,EC2,7.0
